culmen_depth_mm,species,body_mass_g
18.7,Adelie,3750
17.4,Adelie,3800
18,Adelie,3250
19.3,Adelie,3450
20.6,Adelie,3650
17.8,Adelie,3625
19.6,Adelie,4675
18.1,Adelie,3475
20.2,Adelie,4250
17.1,Adelie,3300
17.3,Adelie,3700
17.6,Adelie,3200
21.2,Adelie,3800
21.1,Adelie,4400
17.8,Adelie,3700
19,Adelie,3450
20.7,Adelie,4500
18.4,Adelie,3325
21.5,Adelie,4200
18.3,Adelie,3400
18.7,Adelie,3600
19.2,Adelie,3800
18.1,Adelie,3950
17.2,Adelie,3800
18.9,Adelie,3800
18.6,Adelie,3550
17.9,Adelie,3200
18.6,Adelie,3150
18.9,Adelie,3950
16.7,Adelie,3250
18.1,Adelie,3900
17.8,Adelie,3300
18.9,Adelie,3900
17,Adelie,3325
21.1,Adelie,4150
20,Adelie,3950
18.5,Adelie,3550
19.3,Adelie,3300
19.1,Adelie,4650
18,Adelie,3150
18.4,Adelie,3900
18.5,Adelie,3100
19.7,Adelie,4400
16.9,Adelie,3000
18.8,Adelie,4600
19,Adelie,3425
18.9,Adelie,2975
17.9,Adelie,3450
21.2,Adelie,4150
17.7,Adelie,3500
18.9,Adelie,4300
17.9,Adelie,3450
19.5,Adelie,4050
18.1,Adelie,2900
18.6,Adelie,3700
17.5,Adelie,3550
18.8,Adelie,3800
16.6,Adelie,2850
19.1,Adelie,3750
16.9,Adelie,3150
21.1,Adelie,4400
17,Adelie,3600
18.2,Adelie,4050
17.1,Adelie,2850
18,Adelie,3950
16.2,Adelie,3350
19.1,Adelie,4100
16.6,Adelie,3050
19.4,Adelie,4450
19,Adelie,3600
18.4,Adelie,3900
17.2,Adelie,3550
18.9,Adelie,4150
17.5,Adelie,3700
18.5,Adelie,4250
16.8,Adelie,3700
19.4,Adelie,3900
16.1,Adelie,3550
19.1,Adelie,4000
17.2,Adelie,3200
17.6,Adelie,4700
18.8,Adelie,3800
19.4,Adelie,4200
17.8,Adelie,3350
20.3,Adelie,3550
19.5,Adelie,3800
18.6,Adelie,3500
19.2,Adelie,3950
18.8,Adelie,3600
18,Adelie,3550
18.1,Adelie,4300
17.1,Adelie,3400
18.1,Adelie,4450
17.3,Adelie,3300
18.9,Adelie,4300
18.6,Adelie,3700
18.5,Adelie,4350
16.1,Adelie,2900
18.5,Adelie,4100
17.9,Adelie,3725
20,Adelie,4725
16,Adelie,3075
20,Adelie,4250
18.6,Adelie,2925
18.9,Adelie,3550
17.2,Adelie,3750
20,Adelie,3900
17,Adelie,3175
19,Adelie,4775
16.5,Adelie,3825
20.3,Adelie,4600
17.7,Adelie,3200
19.5,Adelie,4275
20.7,Adelie,3900
18.3,Adelie,4075
17,Adelie,2900
20.5,Adelie,3775
17,Adelie,3350
18.6,Adelie,3325
17.2,Adelie,3150
19.8,Adelie,3500
17,Adelie,3450
18.5,Adelie,3875
15.9,Adelie,3050
19,Adelie,4000
17.6,Adelie,3275
18.3,Adelie,4300
17.1,Adelie,3050
18,Adelie,4000
17.9,Adelie,3325
19.2,Adelie,3500
18.5,Adelie,3500
18.5,Adelie,4475
17.6,Adelie,3425
17.5,Adelie,3900
17.5,Adelie,3175
20.1,Adelie,3975
16.5,Adelie,3400
17.9,Adelie,4250
17.1,Adelie,3400
17.2,Adelie,3475
15.5,Adelie,3050
17,Adelie,3725
16.8,Adelie,3000
18.7,Adelie,3650
18.6,Adelie,4250
18.4,Adelie,3475
17.8,Adelie,3450
18.1,Adelie,3750
17.1,Adelie,3700
18.5,Adelie,4000
